2018-04-30 17:46:15.91,milk
2018-04-30 17:46:20.64,butter
2018-04-30 17:46:33.40,eggs
2018-04-30 17:48:08.86,yoghurt
2018-05-01 06:46:36.26,milk
2018-05-01 06:47:58.10,milk
2018-05-01 07:46:31.38,milk
2018-05-01 07:46:32.33,milk
2018-05-01 07:54:27.32,milk
2018-05-01 07:56:42.78,butter
2018-05-01 07:57:11.68,chocolate
2018-05-01 07:59:23.32,butter
2018-05-01 08:12:53.62,milk
2018-05-01 08:12:55.45,milk
2018-05-01 08:12:57.38,milk
2018-05-01 09:50:31.20,milk
2018-05-01 09:50:31.31,milk
2018-05-01 09:50:35.24,milk
2018-05-01 12:07:31.15,milk
2018-05-01 12:07:33.17,butter
2018-05-01 12:07:35.28,butter
2018-05-01 12:07:54.05,milk
2018-05-01 12:07:54.16,milk
2018-05-01 13:09:40.56,milk
2018-05-01 15:53:50.69,milk
